label,name,notice,furigana
プラスチック製容器包装,いちごのパックプラスチック製,,い
粗大ごみ,一輪車,,い
缶・びん・ペットボトル,一升びん,できるだけ購入した販売店等に返却してください。,い
粗大ごみ,一斗缶,必ず中身を使い切って出してください。,い
燃やせるごみ,糸,,い
粗大ごみ,犬小屋,解体をお願いする場合があります。,い
燃やせないごみ,鋳物,30cm角程度より大きいものは粗大ごみ,い
燃やせないごみ,イヤホン,,い
燃やせないごみ,イヤリング,,い
プラスチック製容器包装,衣料品のビニール袋,,い
燃やせるごみ,衣類,小さく切って袋に入れる。,い
市で処理できない,衣類乾燥機,家電リサイクル法により有料でメーカーが引取り,い
燃やせないごみ,イルミネーション,45リットルのごみ袋に入らないものは粗大ごみ,い
燃やせないごみ,入れ歯,,い
燃やせないごみ,入れ歯接着剤チューブ金属製,,い
プラスチック製容器包装,入れ歯接着剤チューブプラスチック製,汚れのとれないものは燃やせないごみ,い
燃やせるごみ,色鉛筆,,い
燃やせるごみ,印鑑木製,,い
燃やせないごみ,印鑑木製以外,,い
燃やせるごみ,インク,新聞紙などにしみ込ませる。,い
燃やせないごみ,インクの容器びん,,い
プラスチック製容器包装,インクの容器プラスチック製,必ず中身を使い切って、汚れを落とす。,い
燃やせないごみ,インクリボン,,い
燃やせないごみ,インスタントカメラ,,い
プラスチック製容器包装,インスタントラーメンの袋・容器プラスチック製,,い
燃やせないごみ,インターホン,日曜大工で出たものに限る。,い
雑誌・ダンボール・紙パック,飲料パック紙製,500ml以上の紙パックが対象。洗って、開いて、乾かして、ポリ袋に入れてから、ひもで十字に縛る。内側がアルミ箔の紙パックは燃やせるごみ,い
燃やせるごみ,飲料パック（内側銀色）紙製,リサイクルが困難なため,い
缶・びん・ペットボトル,ウィスキーのびんびん,,う
粗大ごみ,ウィンドーファン,,う
燃やせるごみ,ウインドブレーカー,ビニール製のものは燃やせないごみ,う
燃やせるごみ,植木（剪定くず）,30cm以下に切る。一世帯5袋まで。（落葉・草含む）,う
プラスチック製容器包装,植木（苗）ポットプラスチック製,,う
粗大ごみ,植木の台,,う
燃やせないごみ,植木ばさみ,30cm角程度より大きいものは粗大ごみ（刃の部分は新聞紙等で包む）,う
燃やせないごみ,植木鉢陶器・プラスチック製,30cm角程度より大きいものは粗大ごみ,う
燃やせないごみ,ウエストバック（ポーチ）,,う
燃やせないごみ,ウエットスーツゴム製,1m以下に切ってください。,う
燃やせるごみ,ウェットティッシュ,,う
プラスチック製容器包装,ウェットティッシュのケース,,う
燃やせないごみ,ウォークマン,,う
粗大ごみ,ウォシュレット,日曜大工で出たものに限る。,う
燃やせないごみ,浮き袋・浮輪,中の空気を抜いてから出してください。,う
粗大ごみ,うす石・木製,,う
粗大ごみ,雨水枡のふた,日曜大工で出たものに限る。,う
燃やせるごみ,うちわ木製,,う
燃やせないごみ,うちわプラスチック製,,う
粗大ごみ,ウッドカーペット,,う
燃やせないごみ,腕時計,,う
粗大ごみ,乳母車,,う
粗大ごみ,羽毛ふとん,2枚で1個扱い。,う
粗大ごみ,ウレタンマット,30cm角程度より小さいものは燃やせないごみ,う
燃やせないごみ,うろこ取り,,う
燃やせないごみ,運動靴,,う
燃やせないごみ,エアークッション,中の空気を抜いてから出してください。,え
プラスチック製容器包装,エアキャップ,気泡緩衝剤（プチプチ）,え
市で処理できない,エアコン,家電リサイクル法により有料でメーカーが引取り,え
燃やせないごみ,エアポンププラスチック製,,え
粗大ごみ,エアマット,,え
粗大ごみ,映写機（家庭用）,,え
缶・びん・ペットボトル,栄養ドリンクのびん,金属製のふたは外して燃やせないごみ,え
市で処理できない,液晶テレビ,家電リサイクル法により有料でメーカーが引取り,え
プラスチック製容器包装,液体のりの容器プラスチック製,チューブなどで汚れが落とせないものは燃やせないごみ,え
プラスチック製容器包装,液体肥料の容器プラスチック製,必ず中身を使い切って、汚れを落とす。,え
燃やせるごみ,枝,30cm以下に切る。一世帯5袋まで（落葉・草含む）,え
粗大ごみ,枝切りバサミ,30cm角程度より小さいものは燃やせないごみ（刃の部分は新聞紙等で包む）,え
燃やせないごみ,柄つきタワシプラスチック製,45リットルのごみ袋に入らないものは粗大ごみ,え
燃やせるごみ,柄つきタワシ木製,,え
燃やせないごみ,絵の具チューブ,,え
雑誌・ダンボール・紙パック,絵の具の紙箱,,え
燃やせるごみ,エプロン布製,小さく切って袋に入れる。,え
燃やせないごみ,エプロンビニール製,,え
雑誌・ダンボール・紙パック,絵本,,え
燃やせないごみ,MO（光磁気ディスク）,,え
燃やせないごみ,MD（ミニディスク）,,え
燃やせないごみ,MDプレーヤー,,え
粗大ごみ,えもん掛け,,え
燃やせないごみ,LD（レーザーディスク）,,え
粗大ごみ,LDプレーヤー,,え
粗大ごみ,エレキギター,,え
粗大ごみ,エレクトーン,,え
粗大ごみ,園芸バリカン,30cm角程度より小さいものは燃やせないごみ（刃は危険のないように新聞紙等で包む。）,え
燃やせないごみ,園芸用スポンジ,,え
プラスチック製容器包装,園芸用（土・肥料等）の袋プラスチック製,中身を使い切って、汚れを落とす。,え
市で処理できない,エンジン,販売店・専門の処理業者に相談するか、引取りを依頼してください。,え
粗大ごみ,縁台,,え
燃やせないごみ,延長コード,,え
燃やせないごみ,塩ビ管,45リットルのごみ袋に入らない物は粗大ごみ。日曜大工に出たものに限る。,え
燃やせるごみ,鉛筆,,え
燃やせないごみ,鉛筆削り器,,え
燃やせるごみ,オイル（機械用）,新聞紙などにしみ込ませる。,お
燃やせないごみ,オイルの缶,18リットル以上は粗大ごみ。必ず中身は使い切って出してください。,お
粗大ごみ,オイルヒーター,,お
燃やせないごみ,王冠（キャップ）,,お
粗大ごみ,応接セット（テーブル・ソファー）,2人掛けは1脚で1個扱い、1人掛けは2脚で1個扱い。テーブルは1個で1個扱い。,お
雑誌・ダンボール・紙パック,OA用紙,,お
粗大ごみ,オーディオ製品,30cm角程度より小さいものは燃やせないごみ,お
粗大ごみ,オーディオラック,,お
市で処理できない,オートバイ,販売店・専門の処理業者にご相談するか、引取りを依頼してください。,お
プラスチック製容器包装,オードブル容器プラスチック製,,お
燃やせないごみ,オーブントースター,30cm角程度より大きいものは粗大ごみ,お
粗大ごみ,オーブンレンジ,30cm角程度より小さいものは燃やせないごみ,お
プラスチック製容器包装,お菓子・パンなどの袋プラスチック製,,お
雑誌・ダンボール・紙パック,お菓子の箱,,お
燃やせないごみ,置時計,30cm角程度より大きいものは粗大ごみ,お
燃やせないごみ,桶プラスチック製,45リットルのごみ袋に入らない物は粗大ごみ,お
燃やせるごみ,桶木製,,お
粗大ごみ,押入れ収納ケースプラスチック製,,お
燃やせないごみ,押しピン,紙などに包む。,お
燃やせないごみ,おしゃぶり,,お
燃やせるごみ,オタマ（杓子）木製,,お
燃やせないごみ,オタマ（杓子）プラスチック・金属製,,お
燃やせるごみ,落ち葉,一世帯5袋まで（木、草含めて）,お
缶・びん・ペットボトル,お茶の缶,,お
燃やせるごみ,お手拭き,,お
プラスチック製容器包装,お手拭きの袋,,お
燃やせないごみ,落し蓋金属製,,お
燃やせるごみ,落し蓋木製,,お
プラスチック製容器包装,おにぎりの外装フィルム,,お
粗大ごみ,斧,危険のないように厚紙等で包む。,お
燃やせるごみ,帯,小さく切って袋に入れる。,お
燃やせないごみ,おひつプラスチック製,,お
燃やせるごみ,おひつ木製,,お
燃やせないごみ,汚物入れプラスチック・金属製,,お
燃やせるごみ,おぼん木製,30cm角程度より大きいものは粗大ごみ,お
燃やせないごみ,おぼん木製以外,,お
粗大ごみ,おまる,洗浄してください。,お
燃やせるごみ,おむつ紙・布製,汚物はトイレに,お
燃やせるごみ,おむつカバー,,お
燃やせるごみ,おもちゃ木製,30cm角程度より大きいものは粗大ごみ,お
燃やせないごみ,おもちゃ木製以外,,お
粗大ごみ,おもちゃ（乗り物）,,お
雑誌・ダンボール・紙パック,おもちゃの空き箱紙製,,お
燃やせないごみ,おもり（つり用）鉄・鉛,,お
雑誌・ダンボール・紙パック,折り紙,小さいものは封筒や紙袋に入れて出す。,お
新聞紙,折り込みチラシ（新聞）,新聞紙と一緒に束ねて出してください。,お
粗大ごみ,折りたたみ椅子,2脚で1個扱い。30cm角程度より小さいものは燃やせないごみ,お
燃やせないごみ,折りたたみ傘,,お
粗大ごみ,折りたたみテーブル,30cm角程度より小さいものは燃やせないごみ,お
プラスチック製容器包装,折り詰め容器プラスチック製,,お
燃やせるごみ,折り詰め容器紙製,リサイクルが困難なため,お
粗大ごみ,オルガン,,お
燃やせないごみ,オルゴール,30cm角程度より大きいものは粗大ごみ,お
燃やせないごみ,おろしがね,,お
燃やせないごみ,オロナインの容器びん・金属チューブ,,お
燃やせるごみ,おわん木製,,お
燃やせないごみ,おわん木製以外,,お
市で処理できない,温水器、ソーラー,販売店・専門の処理業者にご相談するか、引取りを依頼してください。,お
燃やせないごみ,温度計,体温計（水銀）は有害ごみ,お
粗大ごみ,温冷庫（車載用）,ポータブル用の小型冷蔵庫,お
燃やせないごみ,カーステレオ（カーコンポ）,自分で取り外したものに限る。,か
燃やせるごみ,ガーゼ,,か
粗大ごみ,カーテン,,か
粗大ごみ,ガーデンフェンス,,か
粗大ごみ,カーテンレール,,か
燃やせるごみ,カードゲーム,,か
燃やせないごみ,カートリッジ（プリンター）,市役所・支所等の回収箱もご利用ください。,か
燃やせるごみ,ガードル,,か
燃やせるごみ,カード類紙製,リサイクルが困難なため,か
燃やせないごみ,カード類プラスチック製,,か
燃やせないごみ,カーナビゲーション,自分で取り外したものに限る。,か
粗大ごみ,カーペット,,か
粗大ごみ,カーペットローラー,30cm角程度より小さいものは燃やせないごみ,か
燃やせるごみ,カーボン紙,リサイクルが困難なため,か
燃やせないごみ,カーマット（自家用車用）,45リットルのごみ袋に入らないものは粗大ごみ,か
燃やせないごみ,カーラー,,か
燃やせるごみ,貝殻,,か
燃やせないごみ,懐中電灯,電池は外す。,か
粗大ごみ,買物カート,,か
燃やせないごみ,買物かごプラスチック製,45リットルのごみ袋に入らないものは粗大ごみ,か
燃やせるごみ,買物かご竹・布製,,か
燃やせないごみ,カイロ金属製・使い捨て,,か
燃やせないごみ,鏡,30cm角程度より大きいものは粗大ごみ,か
燃やせないごみ,鍵,,か
粗大ごみ,かき氷機,電池は外してください。30cm角程度より小さいものは燃やせないごみ,か
粗大ごみ,学習机,,か
燃やせないごみ,拡大鏡（虫めがね）,,か
燃やせるごみ,額縁木製,ガラスは取り外して燃やせないごみ,か
燃やせないごみ,額縁プラスチック・アルミ製,45リットルのごみ袋に入らないものは粗大ごみ,か
燃やせるごみ,掛け軸,,か
燃やせないごみ,掛時計,30cm角程度より大きいものは粗大ごみ,か
粗大ごみ,掛け布団,2枚で1個扱い,か
燃やせないごみ,かごプラスチック製,45リットルのごみ袋に入らないものは粗大ごみ,か
燃やせるごみ,かご竹製,,か
燃やせないごみ,かさ,,か
粗大ごみ,かさ立てプラスチック・金属製,30cm角程度より小さいものは燃やせないごみ,か
缶・びん・ペットボトル,菓子缶,一斗缶は粗大ごみ,か
燃やせないごみ,加湿器,30cm角程度より大きいものは粗大ごみ,か
雑誌・ダンボール・紙パック,菓子箱紙製,雑がみとして雑誌と一緒に束ねて出す。,か
プラスチック製容器包装,菓子袋プラスチック製,,か
粗大ごみ,ガスコンロ,,か
粗大ごみ,ガスストーブ,,か
燃やせるごみ,カスタネット木製,,か
粗大ごみ,ガステーブル,,か
市で処理できない,ガスボンベ（プロパンガス用）,販売店・専門の処理業者にご相談するか、引取りを依頼してください。,か
粗大ごみ,ガス湯沸器,自分で取り外したものに限る。,か
燃やせないごみ,ガスライター,必ず中身を使い切って出してください。,か
粗大ごみ,ガスレンジ,,か
燃やせないごみ,カセットコンロ,ガスボンベ、電池は抜き取ってください。30cm角程度より大きいものは粗大ごみ,か
燃やせないごみ,カセットコンロのガスボンベ缶,必ず中身を使い切って風通しの良い屋外等で穴をあけて、他の燃やせないごみとは別袋にして出してください。,か
燃やせないごみ,カセットテープ,,か
燃やせないごみ,カセットテープのケース,,か
粗大ごみ,カセットデッキ,30cm角程度より小さいものは燃やせないごみ,か
市で処理できない,ガソリン,販売店・専門の処理業者に相談するか、引取りを依頼してください。,か
粗大ごみ,ガソリン携行缶,必ず中身を使い切ってフタを開け、乾いた状態で出してください。,か
雑誌・ダンボール・紙パック,カタログ,雑がみとして雑誌と一緒に束ねて出す。,か
燃やせないごみ,カチューシャ,,か
燃やせるごみ,活性炭,,か
燃やせないごみ,カッターナイフ,刃の部分は危険のないように新聞紙等で包む。,か
燃やせるごみ,カットウィッグ,家庭から出たものに限る。,か
燃やせないごみ,カッパ（雨ガッパ）,,か
プラスチック製容器包装,カップめんの調味料袋,汚れのとれないものは燃やせないごみ,か
燃やせるごみ,カップめんのふた紙製,リサイクルが困難なため,か
プラスチック製容器包装,カップめんのふたプラスチック製,,か
プラスチック製容器包装,カップめんの包装フィルム,,か
燃やせるごみ,カップめんの容器紙製,リサイクルが困難なため,か
プラスチック製容器包装,カップめんの容器プラスチック製,,か
プラスチック製容器包装,カップ類プラスチック製,プリン・カップめん類の容器,か
燃やせるごみ,かつら,,か
燃やせるごみ,蚊取り線香,,か
燃やせないごみ,蚊取り線香（電気式）,電池は外す。,か
燃やせないごみ,蚊取り線香の容器（缶）金属製,,か
燃やせないごみ,金網,家庭から出たものに限る。45リットルのごみ袋に入らないものは粗大ごみ,か
燃やせないごみ,かなづち,,か
燃やせないごみ,かばん,45リットルのごみ袋に入らないものは粗大ごみ,か
粗大ごみ,画板木・プラスチック製,,か
燃やせないごみ,画びょう,危険のないように新聞紙等で包む。,か
燃やせないごみ,花瓶,,か
燃やせないごみ,壁紙ビニール製,日曜大工で出たものに限る。,か
燃やせるごみ,壁紙紙製,,か
燃やせないごみ,鎌,刃の部分は危険のないように新聞紙等で包む。,か
粗大ごみ,釜,30cm角程度より小さいものは燃やせないごみ,か
燃やせるごみ,かまぼこ板木製,,か
燃やせるごみ,紙おむつ,汚物はトイレへ,か
プラスチック製容器包装,紙おむつの外袋,,か
燃やせるごみ,紙くず,,か
燃やせるごみ,紙コップ,リサイクルが困難なため,か
燃やせるごみ,紙皿,リサイクルが困難なため,か
燃やせないごみ,かみそり,刃の部分は危険のないように新聞紙等で包む。,か
燃やせないごみ,かみそり（電気式）,バッテリー・電池は外してください。,か
燃やせないごみ,かみそりの刃,紙などに包む。,か
燃やせるごみ,紙粘土,,か
燃やせるごみ,髪の毛,理髪店・美容院のものは収集できません。,か
雑誌・ダンボール・紙パック,紙パック,500ml以上の紙パックが対象。洗って、開いて、乾かして、ポリ袋に入れてから、ひもで十字に縛る。内側がアルミ箔の紙パックは燃やせるごみ,か
雑誌・ダンボール・紙パック,紙袋,雑がみとして雑誌と一緒に束ねて出す。,か
燃やせるごみ,紙袋の取っ手布製,,か
燃やせないごみ,紙袋の取っ手プラスチック製,,か
燃やせるごみ,紙やすり（サンドペーパー）,,か
燃やせるごみ,ガム,,か
燃やせるごみ,ガムテープ,,か
燃やせないごみ,カメラ,,か
燃やせないごみ,カメラの望遠レンズ,,か
粗大ごみ,蚊帳（かや）,,か
雑誌・ダンボール・紙パック,画用紙,,か
粗大ごみ,カラーボックス,,か
粗大ごみ,カラオケ機,,か
燃やせないごみ,カラオケ用カセットテープ,,か
燃やせないごみ,ガラス,危険のないよう新聞紙等に包む。30cm角程度より大きい物は粗大ごみ,か
燃やせないごみ,軽石,,か
燃やせるごみ,枯れ草,一世帯5袋まで(剪定木・落ち葉含む）,か
燃やせるごみ,枯葉,一世帯5袋まで（木、草含めて）,か
雑誌・ダンボール・紙パック,カレンダー,雑がみとして雑誌と一緒に束ねて出す。金具・プラスチック部分ははずす。,か
燃やせないごみ,革ジャンパー,,か
燃やせないごみ,革製品,靴やかばん等,か
燃やせないごみ,皮むき器（ピーラー）,,か
粗大ごみ,瓦,日曜大工で出たものに限る。,か
缶・びん・ペットボトル,缶,飲・食品用,か
粗大ごみ,換気扇,日曜大工で出たものに限る。30cm角程度より小さいものは燃やせないごみ,か
粗大ごみ,換気扇カバー,30cm角程度より小さいものは燃やせないごみ,か
燃やせないごみ,缶切り,,か
雑誌・ダンボール・紙パック,緩衝材紙製,,か
プラスチック製容器包装,緩衝材プラスチック製,,か
粗大ごみ,乾燥機（食器・布団）,,か
燃やせるごみ,乾燥剤石灰・粒状シリカゲル,,か
缶・びん・ペットボトル,缶詰の缶,飲・食品用,か
有害ごみ,乾電池,市役所・支所の回収箱に入れるか、粗大ごみを出すときに透明のポリ袋に入れて出してください。,か
燃やせないごみ,鉋（かんな）,刃の部分は危険のないように新聞紙等で包む。,か
燃やせるごみ,感熱紙,リサイクルが困難なため,か
燃やせるごみ,木（樹木）,長さ30cm直径5cm程度にする。袋に入れる。5袋まで（草・落葉含む）,き
粗大ごみ,キーボード（音楽用）,,き
燃やせないごみ,キーホルダー,,き
燃やせるごみ,木くず,長さ30cm直径5cm程度にする。ごみ袋に入れる。5袋まで（草・落葉含む）,き
粗大ごみ,ギター,,き
粗大ごみ,ギターケース,,き
粗大ごみ,キックボード,,き
燃やせるごみ,木づち,30cm角程度より大きいものは粗大ごみ,き
燃やせないごみ,キッチンガードアルミはく,,き
粗大ごみ,キッチン収納庫（レンジ台）,,き
燃やせないごみ,キッチンタイマー,電池は外す。,き
燃やせるごみ,キッチンタオル,,き
燃やせるごみ,キッチンペーパー,,き
燃やせるごみ,キッチンマット布製,45リットルのごみ袋に入らないものは粗大ごみ,き
燃やせないごみ,キッチンマットプラスチック・ビニール製,,き
粗大ごみ,キッチンワゴン,,き
粗大ごみ,きね,,き
燃やせるごみ,木の板,30cm角程度より大きいものは粗大ごみ。上限は1m50cmまで,き
燃やせるごみ,木の根,長さ30cm直径5cm程度にする。ごみ袋に入れる。一世帯5袋まで（木、草含めて）。土は取り除いてください。,き
燃やせるごみ,着物,小さく切って袋に入れる。,き
粗大ごみ,脚立,,き
燃やせないごみ,キャッシュカード,,き
燃やせないごみ,キャップ・ふた金属製,,き
プラスチック製容器包装,キャップ・ふたプラスチック製,,き
粗大ごみ,キャビネット（家庭用）,事務所のものは収集できません。,き
市で処理できない,キャリアー（車用）,販売店・専門の処理業者に相談するか、引取りを依頼してください。,き
燃やせるごみ,キャリーバック（赤ちゃん用）布製,45リットルのごみ袋に入らないものは粗大ごみ,き
燃やせないごみ,キャリーバック（赤ちゃん用）布製以外,,き
粗大ごみ,キャリーバック（旅行用）,,き
燃やせないごみ,きゅうす,,き
雑誌・ダンボール・紙パック,牛乳パック,500ml以上の牛乳パックに限る。洗って、開いて、乾かして、ポリ袋に入れてから、ひもで十字に縛って出してください。,き
缶・びん・ペットボトル,牛乳びん,できるだけ購入した販売店等に返却してください。,き
雑誌・ダンボール・紙パック,牛乳びんのふた紙製,雑がみとして封筒や紙袋に入れて出す。,き
プラスチック製容器包装,牛乳びんのふたプラスチック製,,き
燃やせないごみ,吸盤,,き
燃やせないごみ,給油ポンプ,電池式のものは電池を外してください。,き
市で処理できない,漁網・漁網ネット,,き
雑誌・ダンボール・紙パック,教科書,雑誌と一緒に束ねて出す。,き
粗大ごみ,鏡台,,き
燃やせないごみ,きり,危険のないように新聞紙等で包む。,き
粗大ごみ,切り株,直径30cm以内に限る。,き
燃やせるごみ,切り花,,き
燃やせないごみ,禁煙パイポ,,き
燃やせないごみ,金魚鉢,30cm角程度より大きいものは粗大ごみ,き
粗大ごみ,金庫,30cm角程度より小さい手提げ金庫は燃やせないごみ。大型金庫で収集が困難なものは、販売店に引取りを依頼してください。,き
燃やせないごみ,空気入れ（自転車用）,,く
粗大ごみ,空気清浄機,,く
燃やせないごみ,空気清浄機のフィルター,,く
市で処理できない,クーラー（エアコン）,家電リサイクル法により有料でメーカーが引取り,く
粗大ごみ,クーラーボックス,30cm角程度より小さいものは燃やせないごみ,く
燃やせないごみ,釘,危険のないように新聞紙等で包む。,く
燃やせるごみ,草,土は除く。一世帯、5袋まで。（剪定木・落葉含む）,く
燃やせないごみ,草刈りかま,刃の部分は危険のないように新聞紙等で包む,く
粗大ごみ,草刈り機,農業用、大きいものは販売店などに相談,く
燃やせないごみ,鎖（犬用など）,,く
燃やせないごみ,串金属製,危険のないように新聞紙等で包む。,く
燃やせるごみ,串木・竹製,危険のないように先を折って出してください。,く
燃やせないごみ,櫛プラスチック・金属製,,く
燃やせるごみ,櫛木・竹製,,く
燃やせるごみ,薬（錠剤・粉末）,,く
燃やせないごみ,薬のケースアルミ製,,く
プラスチック製容器包装,薬のケースプラスチック製,,く
缶・びん・ペットボトル,薬のびん（内服用薬）,,く
雑誌・ダンボール・紙パック,薬の袋紙製,雑がみとして封筒や紙袋に入れて出す。,く
市で処理できない,薬の容器（農薬・劇薬用）,販売店・専門の処理業者に相談するか、引取りを依頼してください。,く
プラスチック製容器包装,薬の容器プラスチック製,農薬・劇薬は除く。,く
燃やせないごみ,果物かごプラスチック製,45リットルのごみ袋に入らないものは粗大ごみ,く
雑誌・ダンボール・紙パック,果物などの紙製クッション,雑紙として封筒や紙袋に入れて出す。,く
プラスチック製容器包装,果物のネットプラスチック製,,く
燃やせないごみ,口紅,,く
燃やせないごみ,靴,,く
燃やせるごみ,クッキングペーパー,,く
燃やせるごみ,靴下,,く
燃やせるごみ,クッション布・綿,30cm角程度より大きいものは粗大ごみ,く
燃やせないごみ,クッションウレタン・スポンジ,,く
燃やせるごみ,クッションカバー布製,,く
粗大ごみ,クッションフロアプラスチック製,30cm角程度より小さいものは燃やせないごみ,く
雑誌・ダンボール・紙パック,靴の空箱,,く
燃やせないごみ,靴の中敷き,,く
燃やせるごみ,靴べら木製,,く
燃やせないごみ,靴べらプラスチック製,,く
プラスチック製容器包装,靴用クリームの容器プラスチック製,汚れのとれないものは燃やせないごみ,く
燃やせないごみ,首輪,,く
粗大ごみ,熊手,30cm角程度より小さいものは燃やせないごみ,く
燃やせないごみ,グラス,,く
燃やせるごみ,クラッカー（パーティー用）紙製,使用済のものに限る。,く
燃やせないごみ,クラッカー（パーティー用）プラスチック製,,く
燃やせないごみ,クリアファイル,,く
雑誌・ダンボール・紙パック,クリーニングの中台紙,,く
燃やせないごみ,クリーニングのハンガー,,く
燃やせないごみ,クリーニングの袋,,く
燃やせないごみ,クリスマスツリープラスチック製,30cm角程度より大きいものは粗大ごみ,く
燃やせるごみ,クリスマス用長靴紙製,リサイクルが困難なため,く
燃やせないごみ,クリスマスリースプラスチック製,30cm角程度より大きいものは粗大ごみ,く
燃やせないごみ,クリップ,,く
燃やせないごみ,クリプトン球,,く
粗大ごみ,車いす,家庭用に限る。,く
粗大ごみ,車型おもちゃ（乗り物）,,く
燃やせないごみ,車用マット,45リットルの袋に入らないものは粗大ごみ,く
燃やせるごみ,クレヨン,,く
雑誌・ダンボール・紙パック,クレヨンケース紙製,,く
プラスチック製容器包装,クレヨンケースプラスチック製,,く
燃やせないごみ,グロー球（点灯管）,,く
燃やせないごみ,グローブ（野球用）,,く
粗大ごみ,鍬（くわ）,,く
燃やせないごみ,くん煙殺虫剤,必ず中身を使い切ってください。,く
燃やせるごみ,軍手,,く
燃やせないごみ,蛍光灯,市役所・コミセン等の回収箱もご利用ください。,け
粗大ごみ,蛍光灯傘・カバー,30cm角程度より小さいものは燃やせないごみ,け
雑誌・ダンボール・紙パック,蛍光灯の外箱,蛍光灯を出すときに使用してもよい。,け
燃やせないごみ,蛍光ペン,,け
燃やせないごみ,計算機,電池は外す。,け
燃やせないごみ,携帯電話,携帯電話販売店で無料回収しています。,け
燃やせないごみ,携帯電話の充電器,携帯電話販売店で無料回収しています。,け
燃やせるごみ,毛糸,,け
燃やせないごみ,計量カップ,,け
